model,accuracy,precision,recall,f1,roc_auc
DeepLearning_grid_2_AutoML_1_20230326_151628_model_5,0.6337828246983677,0.7838997448652573,0.6337828246983677,0.6515038162494864,0.7092666391828135
DeepLearning_grid_2_AutoML_1_20230326_151628_model_5,0.6337828246983677,0.7838997448652573,0.6337828246983677,0.6515038162494864,0.7092666391828135
DeepLearning_grid_1_AutoML_1_20230326_151628_model_7,0.5564229950319376,0.7893908067918003,0.5564229950319376,0.5651796151303449,0.6749652634632709
DeepLearning_grid_3_AutoML_1_20230326_151628_model_4,0.7224982256919801,0.7646558377096758,0.7224982256919801,0.7346941832275082,0.714548374126497
XRT_1_AutoML_1_20230326_151628,0.7118523775727467,0.8037631570630331,0.7118523775727467,0.7277182172634171,0.7563276482473955
DeepLearning_grid_2_AutoML_1_20230326_151628_model_6,0.7267565649396736,0.7724688887579331,0.7267565649396736,0.7392695077308324,0.7248357330808891
DeepLearning_grid_2_AutoML_1_20230326_151628_model_4,0.6848828956706884,0.7707451671089047,0.6848828956706884,0.7021474560167554,0.7157189826902621
DeepLearning_grid_3_AutoML_1_20230326_151628_model_7,0.6799148332150461,0.7769282847395867,0.6799148332150461,0.697550817882298,0.7204892125876048
DeepLearning_grid_1_AutoML_1_20230326_151628_model_8,0.6848828956706884,0.7839852368738897,0.6848828956706884,0.7022376105221789,0.7288094401946265
DeepLearning_grid_1_AutoML_1_20230326_151628_model_6,0.7132718239886444,0.7976192846550089,0.7132718239886444,0.728965866978424,0.7507570783646089
GBM_grid_1_AutoML_1_20230326_151628_model_8,0.681334279630944,0.7741550998372018,0.681334279630944,0.6988831619812181,0.7181912570809094
DeepLearning_grid_3_AutoML_1_20230326_151628_model_5,0.6792051100070973,0.7844371932026261,0.6792051100070973,0.6968083617114096,0.727365265499112
DeepLearning_grid_1_AutoML_1_20230326_151628_model_4,0.7097232079489,0.7739225899606595,0.7097232079489,0.7247531211070932,0.7245939769644594
DeepLearning_grid_2_AutoML_1_20230326_151628_model_8,0.7324343506032647,0.7850809548446774,0.7324343506032647,0.7454690849032749,0.7410066724688135
DeepLearning_grid_3_AutoML_1_20230326_151628_model_2,0.6515259048970902,0.8037052856651231,0.6515259048970902,0.668348805901848,0.7320858717725559
DeepLearning_grid_1_AutoML_1_20230326_151628_model_5,0.6884315117104329,0.7845063318861406,0.6884315117104329,0.7055990315512995,0.7304279337740929
DeepLearning_grid_2_AutoML_1_20230326_151628_model_2,0.716820440028389,0.7778471339700728,0.716820440028389,0.7312803626122386,0.7302854249054606
DeepLearning_grid_3_AutoML_1_20230326_151628_model_8,0.7473385379701917,0.7942050913885891,0.7473385379701917,0.7591599778862866,0.7536950513795366
DeepLearning_grid_2_AutoML_1_20230326_151628_model_3,0.6635911994322214,0.7979426910046044,0.6635911994322214,0.6809796265915877,0.7330070898162144
GBM_grid_1_AutoML_1_20230326_151628_model_13,0.694819020581973,0.7733507153159718,0.694819020581973,0.7113479307101837,0.7209052875879866
DeepLearning_grid_3_AutoML_1_20230326_151628_model_6,0.7416607523066004,0.7983187210017204,0.7416607523066004,0.754621829173865,0.7579779518421815
DeepLearning_grid_2_AutoML_1_20230326_151628_model_7,0.6891412349183819,0.7934931686281292,0.6891412349183819,0.7062118442330103,0.7390967991490185
DeepLearning_grid_1_AutoML_1_20230326_151628_model_2,0.6671398154719659,0.8042640518054477,0.6671398154719659,0.6842059889675984,0.7395345049598177
GBM_grid_1_AutoML_1_20230326_151628_model_5,0.7366926898509581,0.7918565227805241,0.7366926898509581,0.7497618701806948,0.7496577242351601
DeepLearning_grid_3_AutoML_1_20230326_151628_model_3,0.6870120652945352,0.789149839400635,0.6870120652945352,0.7042258561829746,0.7343621964688337
GBM_grid_1_AutoML_1_20230326_151628_model_3,0.7388218594748048,0.8042929628861369,0.7388218594748048,0.7524930709775052,0.7642101700436178
GBM_4_AutoML_1_20230326_151628,0.7374024130589071,0.7835027642630505,0.7374024130589071,0.7495415938759344,0.7395090569475619
DRF_1_AutoML_1_20230326_151628,0.7182398864442867,0.7806203656998081,0.7182398864442867,0.7327306339660766,0.7337145445569246
GBM_grid_1_AutoML_1_20230326_151628_model_15,0.7175301632363378,0.786133415452483,0.7175301632363378,0.7324407565655512,0.739772443874409
GBM_grid_1_AutoML_1_20230326_151628_model_17,0.7452093683463449,0.8092856547595221,0.7452093683463449,0.7584860800837495,0.7710505957379669
GBM_grid_1_AutoML_1_20230326_151628_model_6,0.7338537970191625,0.8131382303186924,0.7338537970191625,0.7483240035775702,0.7722530143170516
GBM_3_AutoML_1_20230326_151628,0.7444996451383961,0.7784754476809878,0.7444996451383961,0.7546934504078374,0.7329282009782216
DeepLearning_grid_1_AutoML_1_20230326_151628_model_3,0.6983676366217175,0.8013690667844656,0.6983676366217175,0.7149476672812783,0.7495228497702044
DeepLearning_grid_3_AutoML_1_20230326_151628_model_1,0.7139815471965933,0.7823611332749285,0.7139815471965933,0.7290591769167855,0.7348813359188514
GBM_grid_1_AutoML_1_20230326_151628_model_7,0.7494677075940384,0.7992047858878478,0.7494677075940384,0.7614875403434714,0.7600659612477669
GBM_1_AutoML_1_20230326_151628,0.709013484740951,0.7992731951084073,0.709013484740951,0.7250229101351467,0.751105716132513
GBM_grid_1_AutoML_1_20230326_151628_model_2,0.7466288147622427,0.7992242488535164,0.7466288147622427,0.759032037902724,0.7597529506970211
GBM_grid_1_AutoML_1_20230326_151628_model_4,0.758694109297374,0.7918946570461689,0.758694109297374,0.7683215920518465,0.7508563256124064
GLM_1_AutoML_1_20230326_151628,0.751596877217885,0.8015582596595788,0.751596877217885,0.7635458896900948,0.7631642567399062
DeepLearning_grid_1_AutoML_1_20230326_151628_model_1,0.7111426543647977,0.7759964455080731,0.7111426543647977,0.7261474475621347,0.7272049430219006
DeepLearning_grid_2_AutoML_1_20230326_151628_model_1,0.6926898509581263,0.7887165437559001,0.6926898509581263,0.7096227349925119,0.7358063711643483
GBM_grid_1_AutoML_1_20230326_151628_model_1,0.7579843860894251,0.7767249594698946,0.7579843860894251,0.764713472401086,0.7282788491390938
GBM_grid_1_AutoML_1_20230326_151628_model_16,0.7352732434350603,0.7975911522555236,0.7352732434350603,0.7489347019095705,0.7560464477119692
GBM_grid_1_AutoML_1_20230326_151628_model_9,0.7558552164655784,0.8042510804817591,0.7558552164655784,0.7674744500045074,0.7669063869421159
